Road,Plant,Fence,Tree,Understory planting,Ground,Sidewalk,Furniture,Wall,Y
0.42482846,0.644480979,0.384289144,0.515990323,0.342381385,0.564087873,0.335923325,0.202249598,0.855817851,13.905864
0.377807712,0.653487929,0.342934317,0.447691042,0.347589549,0.574370168,0.39299175,0.202249598,0.752794088,-11.365222
0.613554346,0.653487929,0.362167729,0.445012435,0.347613452,0.575668425,0.466139415,0.569715921,0.747266911,10.239724
0.561811856,0.653487929,0.391690966,0.470474957,0.347613452,0.574102813,0.365165345,0.466274242,0.727722613,14.648214
0.668150319,0.653487929,0.451591489,0.457491184,0.347613452,0.573630657,0.199227961,0.403326691,0.689510398,7.111356
0.733473893,0.652569388,0.484496658,0.531629093,0.347125524,0.558804509,0.355269963,0.526276602,0.730524376,4.613217
0.697757234,0.653487929,0.469387754,0.435562532,0.347562016,0.479677963,0.38763663,0.657602733,0.642915296,6.483317
0.784134935,0.649932118,0.466690104,0.400807514,0.34312554,0.31307947,0.292782973,0.488074787,0.680058591,11.891809
0.831704919,0.653576785,0.425930375,0.483557117,0.347660652,0.573138834,0.354219165,0.496340709,0.732763463,9.547956
0.722545332,0.653487929,0.408972753,0.490744235,0.347026881,0.561350826,0.353315077,0.32523349,0.725374807,3.683789
0.328295385,0.660681958,0.454584115,0.464855392,0.352886976,0.538651461,0.362379726,0.208856364,0.718827674,8.572585
0.699233793,0.631796675,0.411320529,0.421739232,0.334146433,0.438990418,0.370611663,0.619120382,0.742718194,4.639024
0.37903477,0.653391099,0.448904132,0.692869021,0.347436149,0.572697179,0.349407289,0.202249598,0.744114098,8.529828
0.548361907,0.653487929,0.498720632,0.656488735,0.347613452,0.571853963,0.358424352,0.202249598,0.757376832,0.055357
0.44645652,0.653254967,0.576295666,0.536377659,0.347755657,0.574567216,0.359070695,0.202249598,0.748005528,-13.564277
0.451495885,0.653244715,0.47343852,0.559702021,0.346154627,0.571469174,0.372376217,0.202249598,0.744729887,8.764076
0.4702909,0.614893194,0.428562852,0.206315848,0.326018743,0.570010578,0.286840997,0.202249598,0.737354508,6.65796
0.589407454,0.653448798,0.428566281,0.480145236,0.347577356,0.573693916,0.348106678,0.217038504,0.734112167,2.223105
0.289967931,0.639464527,0.441023836,0.521182259,0.342023487,0.574427062,0.300624334,0.136042003,0.734647352,9.112664
0.446281954,0.649217399,0.47750986,0.470063067,0.345469911,0.573768109,0.372287003,0.159208913,0.73448721,2.302184
0.385573686,0.653257194,0.450577943,0.460464935,0.347882767,0.567982967,0.414239741,0.173316419,0.734307186,5.88292
0.289180262,0.653572228,0.369099638,0.45271376,0.348184609,0.59435926,0.352208761,0.166465994,0.734549423,6.390354
0.553408086,0.653487929,0.418672611,0.447691042,0.347613452,0.574370168,0.355529693,0.202249598,0.733939442,1.981973
0.452684624,0.649085402,0.440852343,0.475122514,0.345942532,0.564921024,0.305917995,0.232031518,0.731946007,-10.5923
0.436245798,0.683269368,0.392978904,0.422608926,0.363433314,0.573637484,0.402847473,0.205151005,0.734387593,5.744562
0.515310543,0.698819336,0.444007895,0.424158112,0.371659549,0.575778874,0.374725653,0.18476072,0.734008278,-4.881095
0.734264114,0.689528087,0.495336992,0.42417254,0.366759032,0.572429277,0.383705046,0.206883805,0.733987398,-4.092755
0.460012059,0.662167314,0.381584633,0.461994447,0.352215185,0.571405601,0.369487505,0.17770886,0.745741543,-5.432166
0.567496683,0.639861998,0.435194655,0.467115548,0.337954688,0.57105407,0.335556539,0.201322646,0.750126769,1.138922
0.520166832,0.653772154,0.434527528,0.470303118,0.34513253,0.561136683,0.362387658,0.202249598,0.752387432,1.375093
0.589316339,0.653642287,0.486353972,0.464453991,0.343579465,0.562669158,0.349546073,0.20108088,0.751364159,0.566205
0.555140954,0.65417602,0.453167557,0.457245885,0.34545966,0.563515695,0.296199071,0.198506136,0.743509924,2.634992
0.588607012,0.654042139,0.561526328,0.449661301,0.347065201,0.559717968,0.385659932,0.224614337,0.731707823,-3.786189
0.837852129,0.653226488,0.232469557,0.415967499,0.347322384,0.559025452,0.264585814,0.131448128,0.73031275,-1.909394
0.481634158,0.653383125,0.552496997,0.458478936,0.34755778,0.561511434,0.37683717,0.202249598,0.732258792,-3.604903
0.495349784,0.65576233,0.46049734,0.439678824,0.346995149,0.560875692,0.403832848,0.125887192,0.737025012,5.682985
0.721887096,0.653230475,0.358123819,0.426437944,0.339959593,0.563897144,0.361562878,0.161670685,0.735400908,-7.532132
0.599240093,0.654144944,0.352531293,0.42653633,0.345470631,0.555210897,0.38465473,0.099936083,0.734193393,-5.724013
0.4694283,0.653487929,0.394858513,0.452901343,0.347992096,0.638218818,0.46382567,0.169732834,0.727909342,-0.66581
0.44776873,0.653487929,0.390776884,0.433371896,0.34798334,0.581667822,0.365696695,0.202249598,0.715815114,-8.060588
0.660362207,0.653487929,0.355052434,0.442596176,0.347613452,0.508152544,0.365135602,0.202249598,0.733849811,2.058585
